###   ###
অ   AO
কাচারিবাড়িসহ   K AA CH AA R IH B AA RH IH SH AO HH OO
কাচের   K AA CH EH R
কাছ   K AA CHS
কাছাকাছি   K AA CHS AA K AA CHS IH
কাছে   K AA CHS EH
কাছেই   K AA CHS EHI
কাছেও   K AA CHS EH OO
কাছের   K AA CHS EH R
কাজ   K AA JH
কাজই   K AA JH IH
কাজএর   K AA JH EH R
কাজও   K AA JH OO
কাজকর্ম   K AA JH K AO R M OO
কাজকর্মও   K AA JH K AO R M OO
কাজকর্মগুলো   K AA JH K AO R M OO G UH L OO
কাজকে   K AA JH K EH
কাজকেই   K AA JH K EHI
কাজগুলো   K AA JH G UH L OO
কাজগুলোর   K AA JH G UH L OO R
কাজটা   K AA JH T AA
কাজটাই   K AA JH T AA IH
কাজটাকে   K AA JH T AA K EH
কাজটাজ   K AA JH T AA JH
কাজটার   K AA JH T AA R
কাজটি   K AA JH T IH
কাজটিই   K AA JH T IHY
কাজটিও   K AA JH T IH OO
কাজল   K AA JH OO L
কাজসমূহ   K AA JH SH M UH HH
কাজি   K AA JH IH
কাজিকে   K AA JH IH K EH
কাজির   K AA JH IH R
কাজী   K AA JH IH
কাজীপাড়া   K AA JH IH P AA RH AA
কাজীপুর   K AA JH IH P UH R
কাজীপুরের   K AA JH IH P UH R EH R
কাজে   K AA JH EH
কাজেই   K AA JH EHI
কাজেও   K AA JH EH OO
কাজের   K AA JH EH R
কাঞ্চন   K AA N CH OO N
কাটছাট   K AA T CHS AA T
কাটছে   K AA T CHS EH
কাটছেন   K AA T CHS EH N
কাটত   K AA T TT OO
কাটতে   K AA T TT EH
কাটবে   K AA T B EH
কাটমিস্ত্রিদের   K AA T M IH S TT R IH DD EH R
কাটল   K AA T L OO
কাটলে   K AA T L EH
কাটা   K AA T AA
কাটাই   K AA T AA IH
কাটাচ্ছি   K AA T AA CH CHS IH
কাটাচ্ছেন   K AA T AA CH CHS EH N
কাটাতে   K AA T AA TT EH
কাটাদাগ   K AA T AA DD AA G
কাটানো   K AA T AA N OO
কাটানোটাই   K AA T AA N OO T AA IH
কাটানোর   K AA T AA N OO R
কাটাবেন   K AA T AA B EH N
কাটার   K AA T AA R
কাটারের   K AA T AA R EH R
কাটালেন   K AA T AA L EH N
কাটায়   K AA T AAI 
কাটিয়ে   K AA T IH Y EH
কাটিয়েও   K AA T IH Y EH OO
কাটিয়েছি   K AA T IH Y EH CHS IH
কাটিয়েছিল   K AA T IH Y EH CHS IH L
কাটুনিটি   K AA T UH N IH T IH
কাটুনিস্ট   K AA T UH N IH SH T
কাটে   K AA T EH
কাটেন   K AA T EH N
কাঠ   K AA TS
কাঠখড়   K AA TS KS AO RH
কাঠগড়ায়   K AA TS G AO RH AAI 
কাঠমিস্ত্রি   K AA TS M IH S TT R IH
কাঠসিমেন্টের   K AA TS S IH M EH N T EH R
কাঠা   K AA TS AA
কাঠামো   K AA TS AA M OO
কাঠামোগত   K AA TS AA M OO G AO TT OO
কাঠামোতে   K AA TS AA M OO TT EH
কাঠামোর   K AA TS AA M OO R
কাঠামোয়   K AA TS AA M OO Y
কাঠি   K AA TS IH
কাঠের   K AA TS EH R
কাণ্ড   K AA N D OO
কাণ্ডকীর্তি   K AA N D OO K IH R TT IH
কাণ্ডকীর্তির   K AA N D OO K IH R TT IH R
কাণ্ডারী   K AA N D AA R IH
কাত   K AA TT
কাতর   K AA TT OO R
কাতরাচ্ছে   K AA TT R AA CH CHS EH
কাতরাচ্ছেন   K AA TT R AA CH CHS EH N
কাতল   K AA TT OO L
কাতার   K AA TT AA R
কাদার   K AA DD AA R
কাদের   K AA DD EH R
কাদেরকে   K AA DD EH R K EH
কাদেরের   K AA DD EH R EH R
কান   K AA N
কানই   K AA N IH
কানছে   K AA N CHS EH
কানটাও   K AA N T AA OO
কানসানা   K AA N SH AA N AA
কানা   K AA N AA
কানাইগরে   K AA N AAY G AO R EH
কানাকড়িও   K AA N AA K OO RH IH OO
কানাডার   K AA N AA D AA R
কানাডিয়ান   K AA N AA D IH AA N
কানিজ   K AA N IH JH
কানে   K AA N EH
কানেকশন   K AA N EH K SH AO N
কানের   K AA N EH R
কান্ত   K AA N TT OO
কান্তটা   K AA N TT OO T AA
কান্তর   K AA N TT OO R
কান্দাপাড়া   K AA N DD AA P AA RH AA
কান্না   K AA N N AA
কান্নাকাটি   K AA N N AA K AA T IH
কান্নাকে   K AA N N AA K EH
কান্নাজড়িত   K AA N N AA JH OO RH IH TT OO
কাপ   K AA P
কাপটা   K AA P T AA
কাপর্ণ্য   K AA R P OO N N OO
কাপুর   K AA P UH R
কাপড়   K AA P OO RH
কাপড়চোপড়   K AA P OO RH CH OO P OO RH
কাপড়চোপড়ের   K AA P OO RH CH OO P OO RH EH R
কাপড়ের   K AA P OO RH EH R
কাফরুল   K AA PS R UH L
কাফরুলে   K AA PS R UH L EH
কাবার   K AA B AA R
কাবিন   K AA B IH N
কাবুল   K AA B UH L
কাব্যসংকলন   K AA B B OO SH AO NG K AO L OO N
কাব্যিক   K AA B B IH K
কাম   K AA M
কামগহনার   K AA M G AO HH OO N AA R
কামনা   K AA M OO N AA
কামনার   K AA M OO N AA R
কামরা   K AA M R AA
কামরাঙা   K AA M R AA NG AA
কামরাটা   K AA M R AA T AA
কামরুজ্জামান   K AA M R UH JH JH AA M AA N
কামরুল   K AA M R UH L
কামরুলও   K AA M R UH L OO
কামানো   K AA M AA N OO
কামানোর   K AA M AA N OO R
কামারুজ্জামান   K AA M AA R UH JH JH AA M AA N
কামাল   K AA M AA L
কামালউদ্দিন   K AA M AA L UH DD DD IH N
কামালের   K AA M AA L EH R
কামিজ   K AA M IH JH
কামিল   K AA M IH L
কাম্য   K AA M M OO
কাম্রুল   K AA M R UH L
কামড়   K AA M OO RH
কামড়ে   K AA M OO RH EH
কার   K AA R
কারওয়ান   K AA R OO Y AA N
কারওয়ানবাজার   K AA R OO Y AA N B AA JH AA R
কারওয়ানবাজারে   K AA R OO Y AA N B AA JH AA R EH
কারখানা   K AA R KS AA N AA
কারখানাটি   K AA R KS AA N AA T IH
কারখানার   K AA R KS AA N AA R
কারখানায়   K AA R KS AA N AAI 
কারগিল   K AA R G IH L
কারগুলো   K AA R G UH L OO
কারগুলোতে   K AA R G UH L OO TT EH
কারগুলোর   K AA R G UH L OO R
কারচুপি   K AA R CH UH P IH
কারচুপির   K AA R CH UH P IH R
কারটিয়ার   K AA R T IH Y AA R
কারণ   K AA R OO N
কারণও   K AA R OO N OO
কারণগুলো   K AA R OO N G UH L OO
কারণটা   K AA R OO N T AA
কারণটাও   K AA R OO N T AA OO
কারণটি   K AA R OO N T IH
কারণে   K AA R OO N EH
কারণেই   K AA R OO N EHI
কারণেও   K AA R OO N EH OO
কারণের   K AA R OO N EH R
কারনেশন   K AA R N EH SH N
কারবারি   K AA R B AA R IH
কারস   K AA R OO SH
কারসাজি   K AA R SH AA JH IH
কারা   K AA R AA
কারাগারে   K AA R AA G AA R EH
কারাগারের   K AA R AA G AA R EH R
কারাতে   K AA R AA TT EH
কারাদণ্ড   K AA R AA DD AO N D OO
কারাবন্দি   K AA R AA B OO N DD IH
কারিগর   K AA R IH G AO R
কারিগরি   K AA R IH G OO R IH
কারিগরের   K AA R IH G AO R EH R
কারিনা   K AA R IH N AA
কারুশিল্প   K AA R UH SH IH L P OO
কারেন্ট   K AA R EH N T
কারো   K AA R OO
কারোই   K AA R OO IH
কারোরই   K AA R OO R IH
কার্টলি   K AA R T L IH
কার্টিস   K AA R T IH SH
কার্টুন   K AA R T UH N
কার্টুনের   K AA R T UH N EH R
কার্ড   K AA R D
কার্ডটা   K AA R D T AA
কার্ডিওভাসকুলার   K AA R D IH OO BS AA SH K UH L AA R
কার্ডিওলজিস্ট   K AA R D IH OO L JH IH SH T
কার্ডিয়াক   K AA R D IH Y AA K
কার্নিশ   K AA R N IH SH
কার্নিশে   K AA R N IH SH EH
কার্পেটের   K AA R P EH T EH R
কার্পেন্টার   K AA R P EH N T AA R
কার্বন   K AA R B OO N
কার্যকর   K AA R JH OO K AO R
কার্যকরী   K AA R JH OO K OO R IH
কার্যকলাপে   K AA R JH OO K AO L AA P EH
কার্যকারণ   K AA R JH OO K AA R OO N
কার্যকারিতাও   K AA R JH OO K AA R IH TT AA OO
কার্যকারিতার   K AA R JH OO K AA R IH TT AA R
কার্যক্রম   K AA R JH OO K R AO M
কার্যক্রমকে   K AA R JH OO K R AO M K EH
কার্যক্রমের   K AA R JH OO K R AO M EH R
কার্যক্রমেরই   K AA R JH OO K AO R M EH R IH
কার্যত   K AA R JH OO TT OO
কার্যদক্ষতা   K AA R JH OO DD AO K KS OO TT AA
কার্যদক্ষতাও   K AA R JH OO DD AO K KS OO TT AA OO
কার্যনির্বাহী   K AA R JH OO N IH R B AA HH IH
কার্যপ্রণালী   K AA R JH OO P R OO N AA L IH
কার্যবিধির   K AA R JH OO B IH DDS IH R
কার্যাবলী   K AA R JH OO AA B OO L IH
কার্যালয়   K AA R JH AA L AO Y
কার্যালয়ে   K AA R JH AA L AO Y EH
কার্যালয়ের   K AA R JH AA L AO Y EH R
কার্লাইল   K AA R L AAY L
কার্লোস   K AA R L OO S
কাল   K AA L
কালচার   K AA L CH AA R
কালচারাল   K AA L CH AA R AA L
কালচারে   K AA L CH AA R EH
কালচে   K AA L CH EH
কালা   K AA L AA
কালাই   K AA L AA IH
কালাম   K AA L AA M
কালার   K AA L AA R
কালারজেট   K AA L AA R JH EH T
কালি   K AA L IH
কালিদাস   K AA L IH DD AA SH
কালিহাতী   K AA L IH HH AA TT IH
কালীর   K AA L IH R
কালু   K AA L UH
কালুকে   K AA L UH K EH
কালে   K AA L EH
কালেকশন   K AA L EH K SH AO N
কালেট   K AA L EH T
কালের   K AA L EH R
কালো   K AA L OO
কালোই   K AA L OO IH
কালোমতো   K AA L OO M AO TT OO
কাল্পনিক   K AA L P OO N IH K
কাশগাছ   K AA SH G AA CHS
কাশফুল   K AA SH PS UH L
কাশফুলগুলো   K AA SH PS UH L G UH L OO
কাশফুলগুলোর   K AA SH PS UH L G UH L OO R
কাশফুলের   K AA SH PS UH L EH R
কাশবন   K AA SH B AO N
কাশবনের   K AA SH B AO N EH R
কাশবাগান   K AA SH B AA G AA N
কাশিয়া   K AA SH IH Y AA
কাশেফ   K AA SH EH PS
কাশেম   K AA SH EH M
কাশ্মীরের   K AA SH SH IH R EH R
কাসানির   K AA SH AA N IH R
কাস্টমস   K AA S T OO M S
কাস্টমার   K AA S T OO M AA R
কাহাতক   K AA HH AA TT AO K
কাহারোল   K AA HH AA R OO L
কাহিনী   K AA HH IH N IH
কাহিনীই   K AA HH IH N IHY
কাহিনীকে   K AA HH IH N IH K EH
কাহিনীচিত্র   K AA HH IH N IH CH IH TT R OO
কাহিনীটি   K AA HH IH N IH T IH
কাহিনীতে   K AA HH IH N IH TT EH
কাহিনীনির্ভর   K AA HH IH N IH N IH R BS AO R
কাহিনীর   K AA HH IH N IH R
কাড়ছে   K AA RH CHS EH
কাড়ি   K AA RH IH
কায়দা   K AA Y DD AA
কায়দাগুলো   K AA Y DD AA G UH L OO
কায়দায়   K AA Y DD AAI 
কায়রোয়   K AA Y R OO Y
কায়সার   K AA Y SH AA R
কায়ামাত   K AA Y AA M AA TT
কায়েতপাড়া   K AA Y EH TT P AA RH AA
কায়েম   K AA Y EH M
কি   K IH
কিংকর্তব্যবিমূঢ়   K IH NG K AO R TT OO B B OO B IH M UH RH OO
কিংডম   K IH NG D AO M
কিংবদন্তি   K IH NG B AO DD OO N TT IH
কিংবদন্তির   K IH NG B AO DD OO N TT IH R
কিংবা   K IH NG B AA
কিংস্টন   K IH NG S T AO N
কিইন্যা   K IH IH N N AA
কিইবা   K IH IH B AA
কিউ   K IHU
কিউট   K IHU T
কিউবান   K IHU B AA N
কিউবিক   K IHU B IH K
কিউরেটরকে   K IHU R EH T AO R K EH
কিউসেক   K IHU SH EH K
কিক   K IH K
কিচিরমিচির   K IH CH IH R M IH CH IH R
কিচেন   K IH CH EH N
কিচ্ছু   K IH CH CHS UH
কিছু   K IH CHS UH
কিছুই   K IH CHS UH IH
কিছুকেই   K IH CHS UH K EHI
কিছুক্ষণ   K IH CHS UH K KS AO N
কিছুক্ষণও   K IH CHS UH K KS AO N OO
কিছুক্ষণের   K IH CHS UH K KS AO N EH R
কিছুটা   K IH CHS UH T AA
কিছুতেই   K IH CHS UH TT EHI
কিছুদিন   K IH CHS UH DD IH N
কিছুদূর   K IH CHS UH DD UH R
কিছুর   K IH CHS UH R
কিছুরই   K IH CHS UH R IH
কিডনি   K IH D N IH
কিনছে   K IH N CHS EH
কিনছেন   K IH N CHS EH N
কিনতে   K IH N TT EH
কিনতেও   K IH N TT EH OO
কিনবে   K IH N B EH
কিনল   K IH N L OO
কিনা   K IH N AA
কিনারা   K IH N AA R AA
কিনারার   K IH N AA R AA R
কিনি   K IH N IH
কিনে   K IH N EH
কিনেছিলাম   K IH N EH CHS IH L AA M
কিনেছেন   K IH N EH CHS EH N
কিন্ত   K IH N TT
কিন্তু   K IH N TT UH
কিপটা   K IH P T AA
কিপটেমি   K IH P T EH M IH
কিপটেমির   K IH P T EH M IH R
কিবরিয়া   K IH B R IH Y AA
কিবেরাতে   K IH B EH R AA TT EH
কিবোর্ড   K IH B OO R D
কিভাবে   K IH BS AA B EH
কিম   K IH M
কিমি   K IH M IH
কির   K IH R
কিরণ   K IH R OO N
কিরাত   K IH R AA TT
কিরে   K IH R EH
কিলিমাঞ্জারো   K IH L IH M AA N JH AA R OO
কিলেমিটার   K IH L EH M IH T AA R
কিলোমিটার   K IH L OO M IH T AA R
কিলোমিটারের   K IH L OO M IH T AA R EH R
কিশোর   K IH SH OO R
কিশোরকিশোরী   K IH SH OO R K IH SH OO R IH
কিশোরকিশোরীদের   K IH SH OO R K IH SH OO R IH DD EH R
কিশোরকিশোরীরা   K IH SH OO R K IH SH OO R IH R AA
কিশোরগঞ্জ   K IH SH OO R G AO N JH
কিশোরী   K IH SH OO R IH
কিষান   K IH SH AA N
কিষানদের   K IH SH AA N DD EH R
কিষানেরা   K IH SH AA N EH R AA
কিসমত   K IH SH M AO TT
কিসসা   K IH SH SH AA
কিসিঞ্জারের   K IH SH IH N JH AA R EH R
কিসে   K IH SH EH
কিসের   K IH SH EH R
কিসেরে   K IH SH EH R EH
কিস্তি   K IH SH TT IH
কিস্তিতে   K IH SH TT IH TT EH
কিস্সা   K IH SH SH AA
কিয়ানু   K IH Y AA N UH
কী   K IH
কীটনাশক   K IH T N AA SH OO K
কীটপতঙ্গ   K IH T P AO TT OO NG G OO
কীটপতঙ্গের   K IH T P AO TT OO NG G EH R
কীবা   K IH B AA
কীভাবে   K IH BS AA B EH
কীর্তি   K IH R TT IH
কীর্তিও   K IH R TT IH OO
কীর্তিমান   K IH R TT IH M AA N
কীর্তির   K IH R TT IH R
কুঁড়ি   K UH* RH IH
কুইজ   K UH IH Z
কুইজের   K UH IH JH EH R
কুকাণ্ড   K UH K AA N D OO
কুকীর্তির   K UH K IH R TT IH R
কুকুর   K UH K UH R
কুকুরও   K UH K UH R OO
কুকুরকে   K UH K UH R K EH
কুকুরগুলো   K UH K UH R G UH L OO
কুকুরগুলোকে   K UH K UH R G UH L OO K EH
কুকুরপ্রিয়   K UH K UH R P R IH Y OO
